Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
112,-110.21564395,0.05566252500000246,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,9F,3D,,,,,,,,,
113,-110.18732575,0.02831820000000107,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
114,-110.184187775,0.003137974999987136,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,70,,,,,,,,,
115,-110.103425075,0.08076270000000818,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
116,-110.083844575,0.01958050000000355,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,71,,,,,,,,,
117,-110.0278001,0.0560444749999931,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
118,-110.0071554,0.0206447000000054,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,A1,41,,,,,,,,,
119,-109.983513225,0.023642174999992,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,6C,,,,,,,,,
120,-109.983003225,0.0005100000000055616,336450625470464,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,6C,00,00,01,02,07,01,,,
121,-109.982741125,0.000262100000000487,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,50,08,2C,3C,08,76,,,
122,-109.982507025,0.0002341000000001258,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,5E,13,45,,,
123,-109.966970225,0.01553679999999247,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,0A,7F,01,04,14,0A,17,00,,,
124,-109.953770925,0.0131993000000108,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
125,-109.8841887,0.06958222499999067,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,69,,,,,,,,,
